Schokoladen-Karamelltarte mit Himbeeren;https://sonnensofie.wordpress.com/2016/06/08/schokoladentarte-himbeeren/;sonnensofie.wordpress.com;June 18, 2016;['rezepte', 'Tarte', 'himbeeren', 'schokolade', 'karamell']
Nektarinen Tarte mit Vollkornkeks Boden;http://www.backbube.com/2016/06/05/nektarinen-tarte-mit-vollkornkeks-boden-und-weisser-schokosahne/;www.backbube.com;June 18, 2016;['Gebäck', 'rezepte', 'Tarte', 'pfirsich']
Minikäsekuchen mit Oreoboden und Erbeerpüree;http://www.backbube.com/2016/06/12/mini-cheesecakes-mit-oreoboden-und-erdbeerpueree/;www.backbube.com;June 16, 2016;['rezepte', 'Gebäck', 'käsekuchen', 'Erdbeeren']
Maulwurfkuchen mit Oreo und Blaubeeren;https://toertchenfieber.wordpress.com/2016/04/24/maulwurfkuchen-variation-mit-oreo-und-blaubeeren/;toertchenfieber.wordpress.com;June 05, 2016;['rezepte', 'Gebäck', 'Blaubeer', 'schokolade']
Rhubarb crumb bars;http://www.afarmgirlsdabbles.com/strawberry-rhubarb-crumb-bars/;www.afarmgirlsdabbles.com;June 05, 2016;['rezepte', 'Gebäck', 'Erdbeeren', 'Rharbarber', 'Rührkuchen', 'Blechkuchen']
New York Cheesecake;http://karensbackwahn.blogspot.de/2016/05/kuchen-new-york-cheesecake.html#.V0xsxpN96Rs;karensbackwahn.blogspot.de;May 30, 2016;['rezepte', 'Gebäck', 'käsekuchen']
Rhubard Nut Cake;http://www.afarmgirlsdabbles.com/rhubarb-nut-coffee-cake/;www.afarmgirlsdabbles.com;May 22, 2016;['rezepte', 'Gebäck', 'Rharbarber', 'Nuss', 'Rührkuchen']
Dulce de Leche Plätzchen;http://berlinerkueche.blogspot.de/2016/04/alfajores-plaetzchen-fuellung-dulce-de-leche-schokolade.html;berlinerkueche.blogspot.de;May 12, 2016;['rezepte', 'Kekse', 'Gebäck', 'karamell']
Tahini roasted cauliflower;http://www.ferocesmente.com/food-drinks/tahini-roasted-cauliflower-with-lemony-herb-oil-vegan/;www.ferocesmente.com;May 12, 2016;['rezepte', 'hauptgerichte', 'Blumenkohl']
Knoblauchbrot;http://smittenkitchen.com/blog/2016/04/perfect-garlic-bread/;smittenkitchen.com;April 19, 2016;['Knoblauch', 'Beilagen', 'Brot']
Erdbeer-Rharbarber Kuchen;http://www.zuckerzimtundliebe.de/2016/04/rezept-fuer-himbeer-rhabarber-kuchen-mit-zuckerkruste-und-mandelhobeln-so-einfach-und-so-lecker/;www.zuckerzimtundliebe.de;April 17, 2016;['rezepte', 'Gebäck', 'Rharbarber', 'Erdbeeren', 'Rührkuchen']
Lemon Shortbread for Afternoon Tea;http://thinlyspread.co.uk/2016/02/24/lemon-shortbread-for-afternoon-tea/;thinlyspread.co.uk;March 20, 2016;['rezepte', 'Gebäck', 'Kekse', 'Kleingebäck', 'zitrone', 'Shortbread']
Nougat Baileys Tarte;http://knusperstuebchen.net/2015/10/27/genau-mein-geschmack-nougat-baileys-tarte-und-ein-baileys-latte-werbung/;knusperstuebchen.net;March 17, 2016;['Tarte', 'Nuss', 'Gebäck', 'Nougat']
Krümelkreationen: Himbeer-Käsekuchen-Brownies;http://kruemelkreationen.blogspot.de/2016/02/himbeer-kasekuchen-brownies.html;kruemelkreationen.blogspot.de;February 14, 2016;['Brownies', 'Blechkuchen', 'himbeeren', 'käsekuchen']
Gedeckter Apfelmuskuchen;http://www.experimenteausmeinerkueche.de/2016/02/gedeckter-apfelmuskuchen.html;www.experimenteausmeinerkueche.de;February 14, 2016;['Apfel', 'Blechkuchen']
Lebkuchen Blechkuchen;http://mrs-mohntag.de/2015/12/lebkuchen-super-einfach-schnell-und-mega-lecker/;mrs-mohntag.de;December 14, 2015;['rezepte', 'Gebäck', 'Lebkuchen', 'weihnachten', 'Blechkuchen']
Haselnuss-Zimt-Bällchen & Zimtschnecken;http://knusperstuebchen.net/2015/11/13/aus-der-plaetzchendose-haselnuss-zimt-baellchen-zimtschnecken/;knusperstuebchen.net;December 13, 2015;['rezepte', 'Gebäck', 'Kekse', 'Kleingebäck', 'Zimt', 'weihnachten', 'Nuss']
Spekulatius-Kuchen mit Ahorn-Sirup-Zimt Glasur - Innen und Aussen;http://www.innenaussen.com/2015/12/spekulatius-kuchen-mit-ahorn-sirup-zimt-glasur.html;www.innenaussen.com;December 09, 2015;[]
My Favorite Things Scarf on Pinterest | Fair Isles, Fair Isle Knitting and Fair ...;https://www.pinterest.com/dreareneeknits/my-favorite-things-scarf/;www.pinterest.com;December 08, 2015;['stricken', 'fairisle']
Chocolate Chip Cookies | Vegan Guerilla;http://www.veganguerilla.de/chocolate-chip-cookies/;www.veganguerilla.de;December 03, 2015;['rezepte', 'Gebäck', 'Kekse', 'schokolade', 'vegan']
